id,name,birthDate,birthArea
0,Ärsenik,1992,
1,Niro,1987-07-08,Orléans
2,Kheops,1966-05-04,
3,Pit Baccardi,1978-06-09,Yaoundé
4,MC Solaar,1969-03-05,Dakar
5,Daddy Lord C,1970-01-07,
6,Rockin' Squat,1969-09-07,
7,La Caution,,
8,Generation Rap,,
9,Ill.,1977-09-28,Towada
10,Booba,1976-12-09,Boulogne-Billancourt
11,Mala,,
12,IAM,1989,Marseille
13,Akhenaton,1968-09-17,Marseille
14,Fonky Family,,Marseille
15,M Group,,
16,Ménélik,1970-09-10,Centre
17,Don Choa,1974,
18,113,,
19,Demon One,1975-07-02,Choisy-le-Roi
20,Ministère A.M.E.R.,,
21,Stomy Bugsy,1972-05-21,Paris
22,Les Sages Poètes de la rue,1987,Boulogne-Billancourt
23,Buddha Monk,,Brooklyn
24,Faya Dem,,
25,Tandem,,
26,L'Squasdrille,,
27,2 Bal,,
28,Laure Milan,1980,
29,Le 3ème Oeil,,Marseille
30,J.P.,,
31,White & Spirit,,
32,Ekoué,1975-04-19,Villiers-le-Bel
33,Sinistre,,
34,KDD,,
35,Mac Tyer,1979-04-23,Aubervilliers
36,Mac Kregor,1979,
37,Diam's,1980-07-25,Nicosia
38,Kery James,1977-12-28,Les Abymes
39,Faf La Rage,1971-03-06,Marseille
40,Lino,1974-05-03,Brazzaville
41,Kazkami,,
42,El Tunisiano,1979-05-19,Deuil-la-Barre
43,La Brigade,1992,
44,Different Teep,,
45,Scred Connexion,1990,
46,Fabe,1971-05-09,Paris
47,Koma,,
48,Time Bomb Team ( Oxmo; X-Men; Pit Baccardi; Hifi; Lunatic ),1978-06-09,Yaoundé
49,Fat Cap,,
50,JoeyStarr,1967-10-27,Saint-Denis
51,Cut Killer,1971,
52,Kimfu,,
53,Youssoupha,1979-08-29,Kinshasa
54,Kaaris,1980-01-30,Abidjan
55,Dad PPDA,1974,Marseille
56,eben,1996-06-13,Brandon
57,El Tuinisiano,,
58,Doudou Masta,1971-02-26,Vitry-sur-Seine
59,Don Sylver,2001,Lier
60,Sulee B Wax,1970,
61,Dr. Charles G. Hayes & the Cosmopolitan Church of Prayer Choir of Chicago,,
62,Lunatic,1994,
63,Dj Kheops,1966-05-04,
64,Le Rat Luciano,1976-04-09,Marseille
65,La Cliqua,1993,
66,Passi,1972-12-21,Brazzaville
67,Lotfi Bouchnak,1952-01-18,Tunis
68,Youness,,
69,Zoxea,1974-11-11,Sèvres
70,Nèg' Marrons,1995,Garges-lès-Gonesse
71,GIMS,1986-05-05,Kinshasa
72,Dry,1977-11-19,Villepinte
73,La Squadra ( Daddy Lord C et Rocca ),1970-01-07,
74,Bisso na Bisso,,
75,Ismaël Lô,1956-08-30,Dosso
76,Jeanl,,
77,Sir Doum's,,
78,X-Men,,
79,Gradur,1990-11-28,Roubaix
80,Djé,,
81,Gèn Renard,,
82,Armand,1946-04-10,Eindhoven
83,Don Geo,,
84,Ste Strausz,1977,Val-de-Marne
85,Jszan Gali,,
86,Orelsan,1982-08-01,Alençon
87,La Clinique,,
88,Ideal J,1991,
89,Nahid Akhtar,,
90,Naseem Begum,1936,
91,Doc Gynéco,1974-05-10,Clichy-sous-Bois
92,Shurik'n,1966-03-11,Miramas
93,Alliance Ethnik,1990,Creil
94,Kwin Labani,,
95,Black Rénégat,,
96,Gros Mo,,
97,Alpha Wann,1989-07-02,Paris
98,Bruce Lee,1940-11-27,San Francisco
99,Freeman,1972-05-09,
100,Fossoyeur,,Courbevoie
101,Anis Lekiss,1977-03,Pontoise
102,Lord Kossity,1973-01-01,
103,Don Capelli,,
104,Seth Gueko,1980-10-27,
105,Oxmo Puccino,1974-08-03,Ségou
106,Le Bavar,,Élancourt
107,Boss,,
108,Haroun,,
109,Mokless,1977,
110,2 Neg,,
111,Mystik,2006,Nyköping
112,Method Man,1971-03-02,Hempstead
113,Redman,1970-04-17,Newark
114,Guizmo,1991-01-21,
115,Kool Shen,1966-02-09,Seine-Saint-Denis
116,Salif,1982,
