Word 1,Word 2,Human (Mean),Mot 1,Mot 2
admission,ticket,5.536,admission,billet
alcohol,chemistry,4.125,alcool,chimie
aluminum,metal,6.625,aluminium,métal
announcement,effort,2.0625,annonce,effort
announcement,news,7.1875,annonce,nouvelles
announcement,production,1.6875,annonce,production
announcement,warning,4.625,annonce,avertissement
Arafat,Jackson,1,Arafat,Jackson
Arafat,peace,2.125,Arafat,paix
Arafat,terror,3.0625,Arafat,terreur
architecture,century,1.929,architecture,siècle
arrangement,accommodation,5.125,arrangement,logement
arrival,hotel,2.1875,arrivée,hôtel
asylum,madhouse,8.0625,asile,maison de fous
atmosphere,landscape,3.5625,atmosphère,paysage
attempt,peace,0.9375,tentative,paix
baby,mother,5.25,bébé,mère
bank,money,6.625,banque,argent
baseball,season,3.2565,baseball,saison
bed,closet,2.25,lit,placard
benchmark,index,5.5,benchmark,index
bird,cock,5.875,oiseau,coq
bird,crane,4.8125,oiseau,grue
bishop,rabbi,5.375,évêque,rabbin
board,recommendation,1.25,planche,recommandation
book,library,5.3125,livre,bibliothèque
book,paper,5.875,livre,papier
boxing,round,4.1875,boxe,rond
boy,lad,7.844,garçon,gamin
bread,butter,4.1875,pain,beurre
brother,monk,4.25,frère,moine
calculation,computation,8.0565,calcul,calcul
canyon,landscape,5.25,canyon,paysage
car,automobile,9.369,voiture,automobile
car,flight,2.4375,voiture,vol
cell,phone,6.25,portable,téléphone
cemetery,woodland,2.3125,cimetière,forêt
century,nation,2.1875,siècle,nation
century,year,4,siècle,année
championship,tournament,7.5,championnat,tournoi
chance,credibility,2.163,chance,crédibilité
change,attitude,3.375,changement,attitude
chord,smile,0.8125,accord,sourire
closet,clothes,4.625,placard,vêtements
coast,forest,2.125,côte,forêt
coast,hill,2.3125,côte,colline
coast,shore,8.2755,côte,rivage
company,stock,3.75,entreprise,action
competition,price,3,concurrence,prix
computer,internet,6.125,ordinateur,internet
computer,keyboard,5.9375,ordinateur,clavier
computer,laboratory,3.375,ordinateur,laboratoire
computer,news,1.6875,ordinateur,nouvelles
computer,software,6.1875,ordinateur,logiciel
concert,virtuoso,3.6875,concert,virtuose
consumer,confidence,1.6875,consommateur,confiance
consumer,energy,2.75,consommateur,énergie
country,citizen,4.3125,pays,citoyen
crane,implement,2.125,grue,implémenter
credit,card,4.5625,crédit,carte
credit,information,3.644,crédit,information
cucumber,potato,4.0625,concombre,patate
cup,article,1.3125,tasse,article
cup,artifact,2.5,tasse,artefact
cup,coffee,5.0625,tasse,café
cup,drink,4.75,tasse,boisson
cup,entity,1.375,tasse,entité
cup,food,1.875,tasse,artefact
cup,liquid,3.75,tasse,liquide
cup,object,4.25,tasse,objet
cup,substance,1.9375,tasse,substance
cup,tableware,6,tasse,table
currency,market,4.3125,monnaie,marché
